# Cyclomatic-complexity baseline — top-20 functions by McCabe score.
#
# Captured by `bash scripts/check-complexity-baseline.sh capture` (which
# this header is documented in). The CI `complexity` job's diff step
# compares the latest sweep against this file; functions that climb by
# ≥ 5 or new entries that crack the top-20 surface as a PR comment.
#
# Pure observability — never enforced. If a number rises, raise (or
# update) a TECHNICAL_DEBT.md item; never silently bump the baseline.
#
# Format: "<score> <package> <function> <file>:<line>". One per line.
# Test files (`*_test.go`, `*.test.ts`) are excluded — they wear high
# scores legitimately (table-driven matrices).

43 cmd registerMatchRoutes pkg/cmd/server_matches.go:20:1
43 app (*App).MoveMatches pkg/app/profile_move.go:38:1
31 app ValidateBundle pkg/app/bundle_validate.go:73:1
30 app (*App).importJSONv1 pkg/app/export.go:140:1
29 app (*App).importDataCSV pkg/app/export_csv.go:119:1
28 app matchByEAD pkg/app/correlation.go:358:1
26 app (*App).ExportBundle pkg/app/export_bundle.go:96:1
21 cmd registerProfileRoutes pkg/cmd/server_profiles.go:22:1
20 parser findStatColumns pkg/parser/parse_teams.go:266:1
19 app (*App).ScreenshotHandler pkg/app/screenshot_handler.go:37:1
18 app aggregateMatchKey pkg/app/aggregate.go:140:1
17 app mergeMatchResult pkg/app/correlation.go:76:1
17 app foldGroup pkg/app/aggregate.go:249:1
16 cmd registerSettingsRoutes pkg/cmd/server_settings.go:23:1
16 app matchByTimestampWindow pkg/app/correlation.go:501:1
15 parser parsePersonalStatCell pkg/parser/parse_personal.go:154:1
15 db (*SQLStore).loadRanks pkg/db/store_rank.go:63:1
15 app (*App).ParseScreenshots pkg/app/parse.go:28:1
15 app (*App).ExportDataCSV pkg/app/export_csv.go:43:1
14 db (*SQLStore).LoadAnnotations pkg/db/store_annotation.go:86:1
